Year,平均每日日照時數,平均每日日射量,行政區,ESH
2005,,14.259822580645162,苗栗縣,14.259822580645162
2006,,12.7619828469022,苗栗縣,12.7619828469022
2007,5.323376344086022,12.64672740655402,苗栗縣,12.64672740655402
2008,5.306608577431715,12.981969997528118,苗栗縣,12.981969997528118
2009,5.266100230414747,13.26194489247312,苗栗縣,13.26194489247312
2010,4.989562852022529,12.486902841781877,苗栗縣,12.486902841781877
2011,4.760597158218126,12.626012800819252,苗栗縣,12.626012800819252
2012,3.8616545132451696,10.147215146459027,苗栗縣,10.147215146459027
2013,4.719407962109576,13.497293674067867,苗栗縣,13.497293674067867
2014,5.300389784946237,14.281500938726746,苗栗縣,14.281500938726746
2015,5.427467997951869,14.511901766513056,苗栗縣,14.511901766513056
2016,4.570293659621802,12.78851001112347,苗栗縣,12.78851001112347
2017,5.114685867895545,14.196181259600616,苗栗縣,14.196181259600616
2018,5.497741935483871,13.947066052227342,苗栗縣,13.947066052227342
2019,7.815891527827012,14.633639272913468,苗栗縣,14.633639272913468
2020,8.48763082437276,15.971701890989989,苗栗縣,15.971701890989989
2021,8.529843616658134,16.211913295784264,苗栗縣,16.211913295784264
2022,8.146054147465438,15.142920720259433,苗栗縣,15.142920720259433
2023,8.613808846119092,16.075171003885426,苗栗縣,16.075171003885426
2024,8.347062415029045,16.880351007292052,苗栗縣,16.880351007292052
1999,4.821721527320606,10.45705357142857,台中市,10.45705357142857
2000,4.980913360524039,10.601623602945072,台中市,10.601623602945072
2001,4.808387523468168,10.67995050349889,台中市,10.67995050349889
2002,5.324343317972351,11.203739007296468,台中市,11.203739007296468
2003,5.881545485577743,10.90481194922791,台中市,10.90481194922791
2004,6.12378772710419,10.632554990553878,台中市,10.632554990553878
2005,5.955883256528417,10.002956706281834,台中市,10.002956706281834
2006,5.83121513461072,10.04710287816315,台中市,10.04710287816315
2007,6.152864055299539,10.192288210445469,台中市,10.192288210445469
2008,6.447796741750093,10.714390839358549,台中市,10.714390839358549
2009,6.476721283495477,11.005875917392046,台中市,11.005875917392046
2010,6.035761465876673,9.928779988828376,台中市,9.928779988828376
2011,5.985490454246215,10.768640882159316,台中市,10.768640882159316
2012,5.571200359073434,11.817572590944671,台中市,11.817572590944671
2013,5.710399812254651,12.466652500426695,台中市,12.466652500426695
2014,5.720329407748762,12.654081130244968,台中市,12.654081130244968
2015,5.564455493572641,13.362672245128952,台中市,13.362672245128952
2016,5.035537634408602,14.431995656549605,台中市,14.431995656549605
2017,5.422688172043011,15.037869623655912,台中市,15.037869623655912
2018,6.284435483870968,15.753924731182794,台中市,15.753924731182794
2019,7.887624920936116,14.913856819468023,台中市,14.913856819468023
2020,8.514851042220826,16.423471893085715,台中市,16.423471893085715
2021,8.95268561187916,17.57995903737839,台中市,17.57995903737839
2022,8.873499103942653,17.346609383000512,台中市,17.346609383000512
2023,8.343677035330263,15.852543778801842,台中市,15.852543778801842
2024,6.176033370411568,11.219110122358178,台中市,11.219110122358178
1999,,8.16009916367981,南投縣,8.16009916367981
2000,,8.766184495118033,南投縣,8.766184495118033
2001,,9.27140739521615,南投縣,9.27140739521615
2002,,9.57891577060932,南投縣,9.57891577060932
2003,,9.26550768049155,南投縣,9.26550768049155
2004,,8.101685360276852,南投縣,8.101685360276852
2005,,8.266242639528931,南投縣,8.266242639528931
2006,,7.233451292882744,南投縣,7.233451292882744
2007,,8.886724910394266,南投縣,8.886724910394266
2008,,8.958631040662466,南投縣,8.958631040662466
2009,2.913781362007169,8.414342741935483,南投縣,8.414342741935483
2010,3.0455391705069124,8.873542690732206,南投縣,8.873542690732206
2011,2.710514592933948,8.392610727086533,南投縣,8.392610727086533
2012,2.486478185638364,8.355485792294468,南投縣,8.355485792294468
2013,2.391225465096433,9.83603050252359,南投縣,9.83603050252359
2014,2.6322242703533023,11.273072196620584,南投縣,11.273072196620584
2015,,,南投縣,
2016,3.184,12.196774193548386,南投縣,12.196774193548386
2017,2.7569324116743474,10.62499539170507,南投縣,10.62499539170507
2018,3.079301075268817,11.161801501962792,南投縣,11.161801501962792
2019,6.766938775510203,11.738008832565283,南投縣,11.738008832565283
2020,7.567576392069619,13.279292569085476,南投縣,13.279292569085476
2021,7.697432763154469,14.653930328829182,南投縣,14.653930328829182
2022,7.54781592421915,14.11456611623144,南投縣,14.11456611623144
2023,7.739053642962562,14.44565133580314,南投縣,14.44565133580314
2024,7.439587100577089,13.209879543272203,南投縣,13.209879543272203
1999,4.826126472094214,11.63097516641065,雲林縣,11.63097516641065
2000,4.573342602892102,11.489598195525891,雲林縣,11.489598195525891
2001,4.632903225806452,11.442408346134153,雲林縣,11.442408346134153
2002,5.442903225806451,12.047589413722475,雲林縣,12.047589413722475
2003,5.48807910906298,11.880436059907836,雲林縣,11.880436059907836
2004,5.571573971078976,11.804028673835123,雲林縣,11.804028673835123
2005,5.020193408741796,10.921911802355352,雲林縣,10.921911802355352
2006,5.02858166922683,10.976326164874552,雲林縣,10.976326164874552
2007,5.896977726574501,11.26564522529442,雲林縣,11.26564522529442
