站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量
高雄農改,28.5,35.5,20.8,,412.79,2000,6,屏東縣,30,,13.759666666666668
恆春畜試,28,33.4,20.6,137.4,600.55,2000,6,屏東縣,30,4.58,20.01833333333333
蘭陽分場,26.9,34.9,18.2,,518.21,2000,6,宜蘭縣,30,,17.273666666666667
花蓮農改,27,33.3,18.8,111.1,511.27,2000,6,花蓮縣,30,3.703333333333333,17.042333333333332
斑鳩分場,26.1,35.7,17.5,139.0,360.61,2000,6,台東縣,30,4.633333333333334,12.020333333333333
農業試驗所,27.2,35.4,18.4,129.7,394.1,2000,6,台中市,30,4.323333333333333,13.136666666666667
茶改場,27.6,34.3,22.3,210.3,474.75,2000,7,桃園市,31,6.783870967741936,15.314516129032258
桃園農改,28.3,34.3,22.6,204.1,513.91,2000,7,桃園市,31,6.583870967741936,16.57774193548387
五峰站,22.6,31.2,17.9,150.8,461.31,2000,7,新竹縣,31,4.864516129032259,14.880967741935484
苗栗農改,27.8,36.4,22.1,,524.04,2000,7,苗栗縣,31,,16.904516129032256
台中農改,28.4,35,22.7,233.1,400.69,2000,7,台中市,31,7.519354838709678,12.925483870967742
臺大溪頭,20.4,27.3,16.4,,322.84,2000,7,南投縣,31,,10.414193548387097
雲林分場,27.6,35.2,22.6,145.5,398.34,2000,7,雲林縣,31,4.693548387096774,12.849677419354839
義竹分場,28,35.6,23.5,,514.97,2000,7,嘉義縣,31,,16.61193548387097
畜試所,27.4,34.9,21.8,128.7,324.64,2000,7,臺南市,31,4.151612903225806,10.47225806451613
高雄農改,27.6,36.9,23.4,114.6,322.16,2000,7,屏東縣,31,3.696774193548387,10.39225806451613
恆春畜試,27.8,33.3,23.7,104.7,488.97,2000,7,屏東縣,31,3.3774193548387097,15.773225806451613
蘭陽分場,27.8,34.8,22.4,,602.44,2000,7,宜蘭縣,31,,19.433548387096774
花蓮農改,27.6,33.9,22.8,124.0,579.67,2000,7,花蓮縣,31,4.0,18.699032258064516
斑鳩分場,26.2,36,21.4,125.2,356.93,2000,7,台東縣,31,4.038709677419355,11.513870967741935
農業試驗所,28.4,38.2,22.6,113.9,383.59,2000,7,台中市,31,3.674193548387097,12.373870967741935
桃園農改,27.8,36.5,23.4,189.8,430.0,2000,8,桃園市,31,6.122580645161291,13.870967741935484
茶改場,26.8,35.7,22.3,175.7,394.19,2000,8,桃園市,31,5.66774193548387,12.715806451612902
五峰站,21.6,29,18,117.7,369.61,2000,8,新竹縣,31,3.796774193548387,11.922903225806452
苗栗農改,27.1,33.8,21.9,,480.46,2000,8,苗栗縣,31,,15.498709677419354
農業試驗所,28.2,37.8,23.5,132.2,368.37,2000,8,台中市,31,4.264516129032257,11.882903225806452
臺中農改,27.7,34.3,23.5,222.5,372.96,2000,8,彰化縣,31,7.17741935483871,12.030967741935482
臺大溪頭,20.7,30.8,10.4,,274.19,2000,8,南投縣,31,,8.84483870967742
